customer_id,segment
C00001,일반
C00002,일반
C00003,일반
C00004,충성
C00005,일반
C00006,일반
C00007,일반
C00008,일반
C00009,신규
C00010,일반
C00011,신규
C00012,일반
C00013,충성
C00014,신규
C00015,신규
C00016,신규
C00017,신규
C00018,일반
C00019,일반
C00020,충성
C00021,일반
C00022,일반
C00023,충성
C00024,신규
C00025,신규
C00026,신규
C00027,충성
C00028,일반
C00029,신규
C00030,일반
C00031,신규
C00032,일반
C00033,일반
C00034,일반
C00035,일반
C00036,일반
C00037,일반
C00038,신규
C00039,신규
C00040,이탈위험
C00041,이탈위험
C00042,일반
C00043,신규
C00044,이탈위험
C00045,충성
C00046,충성
C00047,일반
C00048,신규
C00049,신규
C00050,이탈위험
C00051,일반
C00052,신규
C00053,일반
C00054,일반
C00055,신규
C00056,충성
C00057,충성
C00058,충성
C00059,일반
C00060,일반
C00061,일반
C00062,일반
C00063,신규
C00064,일반
C00065,신규
C00066,일반
C00067,일반
C00068,신규
C00069,신규
C00070,일반
C00071,신규
C00072,이탈위험
C00073,일반
C00074,일반
C00075,일반
C00076,신규
C00077,이탈위험
C00078,일반
C00079,충성
C00080,신규
C00081,일반
C00082,일반
C00083,이탈위험
C00084,일반
C00085,일반
C00086,신규
C00087,일반
C00088,일반
C00089,일반
C00090,신규
C00091,충성
C00092,충성
C00093,신규
C00094,일반
C00095,신규
C00096,일반
C00097,신규
C00098,일반
C00099,충성
C00100,충성
C00101,신규
C00102,이탈위험
C00103,신규
C00104,신규
C00105,일반
C00106,일반
C00107,충성
C00108,충성
C00109,일반
C00110,이탈위험
C00111,신규
C00112,일반
C00113,신규
C00114,이탈위험
C00115,신규
C00116,신규
C00117,일반
C00118,이탈위험
C00119,충성
C00120,충성
C00121,충성
C00122,충성
C00123,일반
C00124,일반
C00125,충성
C00126,일반
C00127,일반
C00128,신규
C00129,충성
C00130,신규
C00131,이탈위험
C00132,신규
C00133,신규
C00134,충성
C00135,신규
C00136,신규
C00137,일반
C00138,충성
C00139,신규
C00140,일반
C00141,충성
C00142,이탈위험
C00143,일반
C00144,신규
C00145,신규
C00146,신규
C00147,신규
C00148,일반
C00149,신규
C00150,일반
C00151,일반
C00152,일반
C00153,신규
C00154,충성
C00155,충성
C00156,충성
C00157,신규
C00158,신규
C00159,이탈위험
C00160,일반
C00161,일반
C00162,일반
C00163,일반
C00164,이탈위험
C00165,신규
C00166,이탈위험
C00167,신규
C00168,일반
C00169,일반
C00170,신규
C00171,신규
C00172,일반
C00173,이탈위험
C00174,일반
C00175,이탈위험
C00176,충성
C00177,일반
C00178,충성
C00179,신규
C00180,신규
C00181,충성
C00182,충성
C00183,신규
C00184,일반
C00185,일반
C00186,충성
C00187,일반
C00188,일반
C00189,일반
C00190,일반
C00191,일반
C00192,충성
C00193,일반
C00194,신규
C00195,신규
C00196,충성
C00197,충성
C00198,신규
C00199,신규
C00200,일반
C00201,신규
C00202,충성
C00203,일반
C00204,신규
C00205,이탈위험
C00206,신규
C00207,신규
C00208,신규
C00209,신규
C00210,신규
C00211,신규
C00212,신규
C00213,신규
C00214,일반
C00215,일반
C00216,일반
C00217,일반
C00218,일반
C00219,충성
C00220,충성
C00221,신규
C00222,신규
C00223,신규
C00224,신규
C00225,일반
C00226,일반
C00227,신규
C00228,일반
C00229,일반
C00230,신규
C00231,충성
C00232,신규
C00233,이탈위험
C00234,신규
C00235,충성
C00236,이탈위험
C00237,이탈위험
C00238,충성
C00239,충성
C00240,일반
C00241,충성
C00242,신규
C00243,일반
C00244,일반
C00245,충성
C00246,일반
C00247,일반
C00248,일반
C00249,신규
C00250,신규
C00251,일반
C00252,일반
C00253,신규
C00254,일반
C00255,일반
C00256,일반
C00257,일반
C00258,일반
C00259,신규
C00260,이탈위험
C00261,이탈위험
C00262,일반
C00263,일반
C00264,일반
C00265,충성
C00266,일반
C00267,충성
C00268,일반
C00269,일반
C00270,신규
C00271,충성
C00272,신규
C00273,일반
C00274,충성
C00275,신규
C00276,일반
C00277,신규
C00278,충성
C00279,신규
C00280,이탈위험
C00281,신규
C00282,이탈위험
C00283,충성
C00284,일반
C00285,충성
C00286,충성
C00287,이탈위험
C00288,신규
C00289,일반
C00290,신규
C00291,일반
C00292,신규
C00293,일반
C00294,일반
C00295,일반
C00296,일반
C00297,충성
C00298,충성
C00299,일반
C00300,일반
C00301,이탈위험
C00302,신규
C00303,신규
C00304,신규
C00305,일반
C00306,일반
C00307,충성
C00308,일반
C00309,일반
C00310,충성
C00311,충성
C00312,신규
C00313,일반
C00314,일반
C00315,신규
C00316,신규
C00317,이탈위험
C00318,일반
C00319,일반
C00320,충성
C00321,일반
C00322,이탈위험
C00323,충성
C00324,일반
C00325,일반
C00326,이탈위험
C00327,충성
C00328,이탈위험
C00329,신규
C00330,충성
C00331,일반
C00332,신규
C00333,일반
C00334,일반
C00335,신규
C00336,일반
C00337,충성
C00338,신규
C00339,일반
C00340,일반
C00341,일반
C00342,이탈위험
C00343,충성
C00344,신규
C00345,이탈위험
C00346,충성
C00347,신규
C00348,충성
C00349,신규
C00350,이탈위험
C00351,일반
C00352,일반
C00353,신규
C00354,충성
C00355,신규
C00356,신규
C00357,신규
C00358,충성
C00359,신규
C00360,이탈위험
C00361,일반
C00362,신규
C00363,신규
C00364,신규
C00365,일반
C00366,충성
C00367,신규
C00368,충성
C00369,신규
C00370,충성
C00371,이탈위험
C00372,충성
C00373,일반
C00374,충성
C00375,신규
C00376,신규
C00377,신규
C00378,일반
C00379,충성
C00380,일반
C00381,충성
C00382,신규
C00383,충성
C00384,신규
C00385,신규
C00386,충성
C00387,이탈위험
C00388,일반
C00389,신규
C00390,일반
C00391,신규
C00392,충성
