merchant_id,merchant_name,industry,region,growth_type
M0001,가맹점_1,음식점,부산,정체
M0002,가맹점_2,IT서비스,경기,하락
M0003,가맹점_3,교육,서울,안정
M0004,가맹점_4,뷰티,부산,안정
M0005,가맹점_5,뷰티,인천,안정
M0006,가맹점_6,IT서비스,서울,안정
M0007,가맹점_7,음식점,인천,급성장
M0008,가맹점_8,교육,인천,안정
M0009,가맹점_9,카페,경기,안정
M0010,가맹점_10,음식점,대구,정체
M0011,가맹점_11,피트니스,서울,안정
M0012,가맹점_12,배달,대구,정체
M0013,가맹점_13,교육,대구,정체
M0014,가맹점_14,IT서비스,경기,안정
M0015,가맹점_15,교육,서울,정체
M0016,가맹점_16,IT서비스,인천,정체
M0017,가맹점_17,피트니스,부산,안정
M0018,가맹점_18,카페,인천,안정
M0019,가맹점_19,IT서비스,대구,정체
M0020,가맹점_20,뷰티,대구,급성장
M0021,가맹점_21,피트니스,대구,안정
M0022,가맹점_22,의류,서울,급성장
M0023,가맹점_23,카페,경기,정체
M0024,가맹점_24,배달,부산,정체
M0025,가맹점_25,IT서비스,부산,정체
M0026,가맹점_26,교육,서울,정체
M0027,가맹점_27,뷰티,부산,안정
M0028,가맹점_28,IT서비스,서울,안정
M0029,가맹점_29,피트니스,대구,급성장
M0030,가맹점_30,뷰티,대구,급성장
