merchant_id,txn_month,total_revenue,txn_count,unique_customers,avg_order_value,prev_revenue,revenue_growth_rate,repeat_purchase_rate,merchant_name,industry,region,growth_type,estimated_ltv,cac_estimate,ltv_cac_ratio,anomaly_type,month_num,year,revenue_lag_1,revenue_lag_2,revenue_lag_3,revenue_rolling_mean_3,txn_rolling_mean_3,industry_encoded,region_encoded,growth_encoded,target_revenue_next
M0001,2023-01,3276597,102,99,32123.5,,,3.03,가맹점_1,음식점,부산,정체,397162.0,11565,34.34,정상,1,2023,,,,3276597.0,102.0,4,2,2,3007419.0
M0001,2023-02,3007419,93,93,32337.83870967742,3276597.0,-8.22,0.0,가맹점_1,음식점,부산,정체,388054.0,9496,40.86,정상,2,2023,3276597.0,,,3142008.0,97.5,4,2,2,2815296.0
M0001,2023-03,2815296,102,100,27600.941176470587,3007419.0,-6.39,2.0,가맹점_1,음식점,부산,정체,337836.0,17599,19.2,정상,3,2023,3007419.0,3276597.0,,3033104.0,99.0,4,2,2,2983393.0
M0001,2023-04,2983393,106,105,28145.216981132075,2815296.0,5.97,0.95,가맹점_1,음식점,부산,정체,340951.0,32521,10.48,정상,4,2023,2815296.0,3007419.0,3276597.0,2935369.3333333335,100.33333333333333,4,2,2,3481657.0
M0001,2023-05,3481657,115,115,30275.278260869567,2983393.0,16.7,0.0,가맹점_1,음식점,부산,정체,363303.0,20983,17.31,정상,5,2023,2983393.0,2815296.0,3007419.0,3093448.6666666665,107.66666666666667,4,2,2,3317005.0
M0001,2023-06,3317005,105,105,31590.52380952381,3481657.0,-4.73,0.0,가맹점_1,음식점,부산,정체,379086.0,18211,20.82,정상,6,2023,3481657.0,2983393.0,2815296.0,3260685.0,108.66666666666667,4,2,2,3264528.0
M0001,2023-07,3264528,116,116,28142.48275862069,3317005.0,-1.58,0.0,가맹점_1,음식점,부산,정체,337710.0,26518,12.74,정상,7,2023,3317005.0,3481657.0,2983393.0,3354396.6666666665,112.0,4,2,2,3446576.0
M0001,2023-08,3446576,116,116,29711.862068965518,3264528.0,5.58,0.0,가맹점_1,음식점,부산,정체,356542.0,12350,28.87,정상,8,2023,3264528.0,3317005.0,3481657.0,3342703.0,112.33333333333333,4,2,2,3273201.0
M0001,2023-09,3273201,109,109,30029.366972477063,3446576.0,-5.03,0.0,가맹점_1,음식점,부산,정체,360352.0,26735,13.48,정상,9,2023,3446576.0,3264528.0,3317005.0,3328101.6666666665,113.66666666666667,4,2,2,3431168.0
M0001,2023-10,3431168,110,110,31192.436363636363,3273201.0,4.83,0.0,가맹점_1,음식점,부산,정체,374309.0,18947,19.76,정상,10,2023,3273201.0,3446576.0,3264528.0,3383648.3333333335,111.66666666666667,4,2,2,4204209.0
